method,vector
|java+method:///smallsql/database/RowSource/absolute(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnString/getBoolean()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getUnicodeStream(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/ExpressionFunction/createUnspportedConversion(int)|,"[11,6,5,1,1,2]"
|java+method:///smallsql/database/MemoryResult/updateRow(smallsql.database.Expression%5B%5D)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSubqueriesInIns()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readBytes(int)|,"[6,5,1,1,2,1]"
|java+method:///smallsql/database/language/Language/getEntries()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StorePageMap/transfer(smallsql.database.StorePageMap.Entry%5B%5D)|,"[28,19,9,1,12,6]"
|java+method:///smallsql/database/SQLParser/createTable()|,"[61,48,13,1,17,10]"
"|java+method:///smallsql/database/SSPreparedStatement/setAsciiStream(int,java.io.InputStream,int)|","[4,3,1,3,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSubqueriesInExists()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexNode/getChildNodes()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getURL(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getRowCount()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getNumeric()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Table/getInserts(smallsql.database.SSConnection)|,"[22,13,9,1,3,6]"
|java+method:///smallsql/database/Strings/toArray()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SortedResult/first()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSoundex/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getBytes(int)|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/ExpressionName/ExpressionName(java.lang.String)|,"[5,3,2,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeLong(long)|,"[13,11,2,1,9,1]"
|java+method:///smallsql/database/SSConnection/setAutoCommit(boolean)|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/Money/toBigDecimal()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getShort(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getString()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeBoolean(boolean)|,"[6,4,2,1,2,1]"
|java+method:///smallsql/database/Utils/long2int(long)|,"[7,6,1,1,0,1]"
|java+method:///smallsql/junit/TestJoins/tearDown()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DataSource/isExpressionsFromThisRowSource(smallsql.database.Expressions)|,"[12,6,6,1,1,3]"
|java+method:///smallsql/database/MemoryStream/verifyFreePufferSize(int)|,"[10,8,2,1,4,2]"
"|java+method:///smallsql/database/SSCallableStatement/getDate(int,java.util.Calendar)|","[4,1,3,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionMod/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/database/SmallSQLException/create(java.lang.String,java.lang.Object%5B%5D)|","[5,4,1,2,2,1]"
|java+method:///smallsql/junit/BenchTest/test_UpdateLargeBinaryWithSP(java.sql.Connection)|,"[37,29,8,1,77,5]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getObject()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/ExpressionArithmetic/getDataType(int,int)|","[10,5,5,2,1,1]"
|java+method:///smallsql/database/Where/next()|,"[8,7,1,1,2,2]"
|java+method:///smallsql/junit/TestMoneyRounding/setUp()|,"[6,5,1,1,2,1]"
|java+method:///smallsql/database/ExpressionFunctionChar/getPrecision()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestAlterTable2/testWithPrimaryKey()|,"[10,9,1,1,4,3]"
|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestDBMetaData/testGetgetUDTs()|,"[9,8,1,1,5,2]"
|java+method:///smallsql/database/Money/equals(java.lang.Object)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/insert()|,"[43,34,9,1,11,8]"
|java+method:///smallsql/junit/BenchTest/test_DeleteAll(java.sql.Connection)|,"[22,15,7,1,70,4]"
|java+method:///smallsql/junit/TestDBMetaData/testGetTypeInfo()|,"[18,13,5,1,9,4]"
"|java+method:///smallsql/database/CommandCreateView/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Expressions/indexOf(smallsql.database.Expression)|,"[12,10,2,1,0,3]"
|java+method:///smallsql/database/MemoryResult/isLast()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expression/getLong()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSCallableStatement/getByte(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getFetchDirection()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/SSPreparedStatement/SSPreparedStatement(smallsql.database.SSConnection,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/TableViewResult/createResult(smallsql.database.TableView)|,"[5,4,1,1,0,1]"
"|java+method:///smallsql/database/Index/removeValue(long,smallsql.database.Expressions)|","[18,15,3,2,6,3]"
|java+method:///smallsql/database/Expression/getAlias()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/registerOutParameter(java.lang.String,int,java.lang.String)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/SQLParser/nextToken(int%5B%5D)|,"[21,15,6,1,1,5]"
"|java+method:///smallsql/database/SSPreparedStatement/setObject(int,java.lang.Object,int)|","[4,3,1,3,0,1]"
|java+method:///smallsql/database/Where/noRow()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/Database/getColumns(smallsql.database.SSConnection,java.lang.String,java.lang.String)|","[39,29,10,3,21,5]"
|java+method:///smallsql/database/ExpressionValue/getDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getFloat(int)|,"[9,7,2,1,2,3]"
|java+method:///smallsql/database/IndexScrollStatus/reset()|,"[8,4,4,1,2,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsColumnAliasing()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/isReadOnly()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateBytes(int,byte%5B%5D)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1StringAndBinary/getBoolean()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSConnection/prepareStatement(java.lang.String,int)|","[5,4,1,2,1,1]"
|java+method:///smallsql/database/ExpressionValue/getString()|,"[8,6,2,1,1,2]"
|java+method:///smallsql/database/Money/doubleValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ColumnExpression/isCaseSensitive()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestStatement/testGetConnection()|,"[6,4,2,1,2,1]"
|java+method:///smallsql/database/ViewResult/isAfterLast()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setURL(int,java.net.URL)|","[5,2,3,2,0,1]"
"|java+method:///smallsql/junit/TestTransactions/testInsertRow_Last(java.sql.Connection,boolean)|","[32,24,8,2,2,5]"
|java+method:///smallsql/database/TableResult/execute()|,"[7,6,1,1,3,1]"
|java+method:///smallsql/database/DataSource/getDataType(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/CommandSelect/next()|,"[12,5,7,1,0,2]"
"|java+method:///smallsql/database/SQLParser/expressionDefList(smallsql.database.Command,smallsql.database.Expressions,smallsql.database.Strings)|","[26,21,5,3,6,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsDataManipulationTransactionsOnly()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/othersInsertsAreVisible(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNull/getFloat(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Money/toString()|,"[11,9,2,1,2,1]"
|java+method:///smallsql/database/ViewResult/getRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/getBitCount()|,"[9,7,2,1,3,2]"
|java+method:///smallsql/database/Table/getStoreInsert(smallsql.database.SSConnection)|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/Table/getStore(smallsql.database.TableStorePage,int)|","[4,2,2,2,0,1]"
|java+method:///smallsql/database/StoreImpl/writeDouble(double)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/getInt(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getDouble()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/ColumnExpression/ColumnExpression(smallsql.database.Expression)|,"[3,2,1,1,1,1]"
"|java+method:///smallsql/database/SSResultSet/updateDate(int,java.sql.Date)|","[3,2,1,2,0,1]"
