method,vector
"|java+method:///smallsql/database/SSCallableStatement/setDate(java.lang.String,java.sql.Date,java.util.Calendar)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsCatalogsInPrivilegeDefinitions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getObject()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestStatement/testFetch()|,"[13,9,4,1,2,1]"
|java+method:///smallsql/database/Column/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestThreads/testConcurrentConnectionWrite()/$anonymous1/run()|,"[11,9,2,1,5,3]"
|java+method:///smallsql/database/SSResultSet/previous()|,"[8,6,2,1,0,3]"
|java+method:///smallsql/database/Table/close()|,"[14,9,5,1,2,2]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getPrecision()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateCharacterStream(int,java.io.Reader,int)|","[4,1,3,3,0,1]"
|java+method:///smallsql/database/TableResult/getTableView()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionInsert/isNull()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/ExpressionArithmetic/getDataType(smallsql.database.Expression,smallsql.database.Expression)|","[8,4,4,2,2,1]"
|java+method:///smallsql/database/Column/getDefaultDefinition()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCot/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/junit/BenchTest/test_DeleteRows(java.sql.Connection)|,"[50,37,13,1,78,8]"
"|java+method:///smallsql/database/IndexNode/addRemainderKey(long,long,int)|","[16,3,13,3,1,1]"
|java+method:///smallsql/junit/TestScrollable/testPreviousWithWhere()|,"[21,16,5,1,8,3]"
|java+method:///smallsql/database/StorePageMap/containsValue(smallsql.database.TableStorePage)|,"[16,7,9,1,1,1]"
|java+method:///smallsql/database/TableResult/getFloat(int)|,"[4,3,1,1,0,1]"
|java+constructor:///smallsql/database/Expressions/Expressions(int)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/SSResultSet/insertRow()|,"[8,6,2,1,0,2]"
|java+method:///smallsql/database/SSResultSetMetaData/isBinaryDataType(int)|,"[10,8,2,1,0,2]"
"|java+constructor:///smallsql/database/CommandSet/CommandSet(smallsql.database.Logger,int)|","[4,3,1,2,1,1]"
|java+method:///smallsql/database/UnionAll/getString(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setTime(java.lang.String,java.sql.Time,java.util.Calendar)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxBinaryLiteralLength()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/getDouble(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxStatements()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getMoney()|,"[26,24,2,1,1,2]"
|java+method:///smallsql/junit/BasicTestCase/printRS(java.sql.ResultSet)|,"[10,6,4,1,1,3]"
|java+method:///smallsql/database/TableResult/insertRow(smallsql.database.Expression%5B%5D)|,"[17,12,5,1,5,2]"
|java+method:///smallsql/database/ExpressionFunctionInsert/getString()|,"[13,12,1,1,4,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_varchar_DescAsc()|,"[26,19,7,1,7,3]"
"|java+method:///smallsql/database/Database/dropTable(smallsql.database.SSConnection,java.lang.String,java.lang.String)|","[3,2,1,3,0,1]"
|java+method:///smallsql/junit/TestAlterTable2/setUp()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getMoneyImpl()|,"[10,8,2,1,0,2]"
|java+method:///smallsql/database/ExpressionFunctionLocate/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StorePageMap/containsKey(long)|,"[8,2,6,1,0,1]"
|java+method:///smallsql/database/SSConnection/nativeSQL(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/isNullable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionPI/getDouble()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/getBigDecimal(int,int)|","[10,8,2,2,4,3]"
|java+method:///smallsql/database/TableView/writeMagic(java.nio.channels.FileChannel)|,"[1,1,0,1,0,0]"
"|java+constructor:///smallsql/database/ExpressionFunctionTimestampDiff/ExpressionFunctionTimestampDiff(int,smallsql.database.Expression,smallsql.database.Expression)|","[4,3,1,3,1,2]"
|java+method:///smallsql/database/DateTime/toString(int)|,"[293,287,6,1,2,2]"
|java+method:///smallsql/database/ExpressionFunctionCase/getPrecision()|,"[7,5,2,1,2,2]"
|java+method:///smallsql/junit/TestOther/testCatalog()|,"[17,14,3,1,4,1]"
|java+method:///smallsql/database/Distinct/getRow()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(long,int)|","[4,3,1,2,1,1]"
"|java+constructor:///smallsql/database/DateTime/DateTime(long,int)|","[22,19,3,2,9,3]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1Number/getBoolean()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Command/addParameter(smallsql.database.ExpressionValue)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestStatement/testGeneratedKeysWithPrepare()|,"[62,53,9,1,14,7]"
|java+method:///smallsql/database/MemoryResult/afterLast()|,"[4,3,1,1,2,1]"
|java+method:///smallsql/database/StoreImpl/readLongBinary()|,"[5,4,1,1,2,1]"
"|java+method:///smallsql/database/StoreImpl/getInt(int,int)|","[64,59,5,1,4,3]"
|java+method:///smallsql/database/StoreImpl/readUnsignedByte()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/RowSource/beforeFirst()|,"[4,1,3,1,0,0]"
|java+method:///smallsql/junit/TestGroupBy/testMaxBigInt()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getBoolean(int)|,"[9,7,2,1,2,3]"
|java+method:///smallsql/database/SSResultSet/getTimestamp(int)|,"[10,8,2,1,2,3]"
"|java+method:///smallsql/database/Store/getInt(int,int)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/StoreImpl/deleteRow(smallsql.database.SSConnection)|,"[7,6,1,1,2,1]"
|java+method:///smallsql/database/NoFromResult/isAfterLast()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/junit/TestDeleteUpdate/TestDeleteUpdate()|,"[6,2,4,1,0,1]"
|java+constructor:///smallsql/junit/TestDBMetaData/TestDBMetaData()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/BenchTest/deleteTestTable(java.sql.Connection)|,"[7,6,1,1,1,3]"
|java+method:///smallsql/database/ExpressionFunctionPI/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsOuterJoins()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/CommandTable/CommandTable(smallsql.database.Logger,java.lang.String,java.lang.String,int)|","[7,6,1,4,4,1]"
|java+method:///smallsql/database/ExpressionValue/clear()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnString/getInt()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/junit/BasicTestCase/assertEqualsObject(java.lang.String,java.lang.Object,java.lang.Object,boolean)|","[29,22,7,4,8,5]"
|java+method:///smallsql/database/SSConnection/createStatement()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionValue/equals(java.lang.Object)|,"[11,7,4,1,1,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setBlob(int,java.sql.Blob)|","[5,2,3,2,0,1]"
"|java+method:///smallsql/database/Utils/hex2bytes(char%5B%5D,int,int)|","[12,9,3,3,2,4]"
|java+method:///smallsql/junit/TestGroupBy/testSumDecimal()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/DateTime/getTimestamp(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/equals(java.lang.Object)|,"[9,5,4,1,0,1]"
"|java+method:///smallsql/database/Utils/hex2byte(char%5B%5D,int)|","[8,6,2,2,0,4]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1Number/getString()|,"[4,3,1,1,0,1]"
"|java+constructor:///smallsql/database/View/View(smallsql.database.SSConnection,java.lang.String,java.nio.channels.FileChannel,long)|","[24,14,10,4,6,3]"
|java+method:///smallsql/database/DateTime/now()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/absolute(int)|,"[27,22,5,1,3,6]"
|java+method:///smallsql/database/Database/getTables(java.lang.String)|,"[14,11,3,1,4,3]"
|java+method:///smallsql/database/ViewResult/deleteRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Distinct/setRowPosition(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getString(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxStatementLength()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateString(int,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getObject(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxConnections()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getRef(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestScrollable/testLastWithWhere()|,"[19,15,4,1,7,3]"
|java+method:///smallsql/database/SSCallableStatement/wasNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/nullRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readShort()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SmallSQLException/createFromException(java.lang.Throwable)|,"[10,7,3,1,2,3]"
|java+method:///smallsql/database/DataSources/size()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Where/getFrom()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRound/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testGroupByWithExpression()|,"[13,11,2,1,3,2]"
|java+method:///smallsql/database/GroupResult/patchExpressions(smallsql.database.Expression)|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/ViewResult/getBoolean(int)|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/Money/Money()|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/Join/next()|,"[9,7,2,1,1,2]"
|java+method:///smallsql/junit/BenchTest/test_RowRequestPages(java.sql.Connection)|,"[58,42,16,1,79,11]"
"|java+method:///smallsql/database/StoreNoCurrentRow/scanObjectOffsets(int%5B%5D,int%5B%5D)|","[4,1,3,2,0,1]"
|java+method:///smallsql/database/ExpressionName/toString()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/RowSource/rowInserted()|,"[4,1,3,1,0,0]"
|java+method:///smallsql/database/language/Language_de/getEntries()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getBigDecimal(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableLong/floatValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testDuplicatedColumnCreate()|,"[10,8,2,1,2,3]"
|java+method:///smallsql/database/RowSource/afterLast()|,"[1,1,0,1,0,0]"
|java+constructor:///smallsql/junit/TestFunctions/TestFunctions(smallsql.junit.TestFunctions.TestValue)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/MutableNumeric/divImpl(int)|,"[28,22,6,1,20,5]"
"|java+method:///smallsql/database/SSResultSet/updateRef(java.lang.String,java.sql.Ref)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/MutableNumeric/div(int)|,"[7,4,3,1,1,1]"
|java+method:///smallsql/junit/TestStatement/testMultiValues()|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/SSPreparedStatement/executeBatch()|,"[26,21,5,1,6,6]"
|java+method:///smallsql/database/SSStatement/close()|,"[6,4,2,1,2,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getCatalogName(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestFunctions/runTest()|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/ExpressionName/setNameAfterTableAlias(java.lang.String)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/NoFromResult/isScrollable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readFloat()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getDataType(int)|,"[4,2,2,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setTime(int,java.sql.Time)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/SSPreparedStatement/execute()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateInt(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSStatement/getGeneratedKeyNames()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsNonNullableColumns()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestFunctions/setUp()|,"[12,10,2,1,2,3]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1StringAndBinary/getInt()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/Index/findRows(smallsql.database.Expression%5B%5D,boolean,java.util.ArrayList)|","[25,12,13,3,4,2]"
"|java+method:///smallsql/database/SSResultSet/updateObject(int,java.lang.Object)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Distinct/execute()|,"[4,3,1,1,1,1]"
"|java+constructor:///smallsql/database/GroupResult/GroupResult(smallsql.database.CommandSelect,smallsql.database.RowSource,smallsql.database.Expressions,smallsql.database.Expression,smallsql.database.Expressions)|","[28,19,9,5,10,4]"
|java+method:///smallsql/database/SSResultSet/getDouble(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionLTrim/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DataSource/getBytes(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getLong()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/junit/TestTransactions/testInsertRow_withWrongWhere()|,"[33,21,12,1,3,5]"
|java+method:///smallsql/database/RowSource/nullRow()|,"[5,1,4,1,0,0]"
|java+method:///smallsql/junit/TestOther/testInSelect()|,"[21,17,4,1,1,3]"
|java+method:///smallsql/database/ExpressionFunctionRepeat/getBytes()|,"[10,8,2,1,3,2]"
|java+method:///smallsql/database/MutableDouble/getImmutableObject()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getDouble(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ViewResult/isNull(int)|,"[8,2,6,1,0,1]"
"|java+method:///smallsql/database/CommandUpdate/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[29,19,10,2,7,5]"
|java+method:///smallsql/database/Expressions/clear()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/MemoryStream/writeInt(int)|,"[7,6,1,1,4,1]"
"|java+method:///smallsql/database/SSConnection/createStatement(int,int,int)|","[4,2,2,3,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxString()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestExceptions/runTest()|,"[26,20,6,1,6,8]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxTablesInSelect()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/equals(java.lang.Object)|,"[9,5,4,1,0,1]"
|java+method:///smallsql/database/StorePage/rollback()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/Column/getDefaultValue(smallsql.database.SSConnection)|,"[9,4,5,1,0,1]"
|java+method:///smallsql/database/language/Language/getDefaultLanguage()|,"[14,6,8,1,1,3]"
|java+method:///smallsql/database/ViewResult/getObject(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getDisplaySize()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeLongString(java.lang.String)|,"[7,6,1,1,2,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getInt(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSResultSet/getStatement()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expressions/resize(int)|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getMoney()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionMinute/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexDescription/writeFinish(smallsql.database.SSConnection)|,"[8,1,7,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getStringFunctions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/RowSource/setAlias(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/first()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/isScrollable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreNull/getNextPagePos()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRepeat/getString()|,"[10,8,2,1,3,2]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getString(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/MutableNumeric/getSignum()|,"[6,2,4,1,0,1]"
"|java+method:///smallsql/database/Join/createJoinScrollIndex(smallsql.database.ExpressionArithmetic,smallsql.database.Expressions,smallsql.database.Expressions,int)|","[43,32,11,4,10,11]"
|java+method:///smallsql/database/DataSource/getLong(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/Command/verifyParams()|,"[9,4,5,1,0,2]"
|java+method:///smallsql/database/Expression/getDataType()|,"[1,1,0,1,0,0]"
"|java+method:///smallsql/database/SSCallableStatement/setBigDecimal(java.lang.String,java.math.BigDecimal)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getLong()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/TableStorePage/TableStorePage(smallsql.database.SSConnection,smallsql.database.Table,int,long)|","[6,5,1,4,3,1]"
|java+constructor:///smallsql/database/TransactionStep/TransactionStep(java.nio.channels.FileChannel)|,"[3,2,1,1,1,1]"
"|java+method:///smallsql/junit/BasicTestCase/assertRowCount(int,java.sql.ResultSet)|","[23,14,9,2,2,6]"
|java+method:///smallsql/database/CommandSelect/compileLinkExpressionName(smallsql.database.ExpressionName)|,"[46,30,16,1,10,11]"
"|java+method:///smallsql/database/StoreImpl/getNumeric(int,int)|","[60,54,6,1,3,3]"
|java+constructor:///smallsql/junit/BasicTestCase/BasicTestCase()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/executeUpdate(java.lang.String)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSubstring/getString()|,"[11,10,1,1,5,1]"
|java+method:///smallsql/database/TableViewMap/getUniqueKey(java.lang.String)|,"[13,2,11,1,0,1]"
|java+method:///smallsql/database/Identity/createStorePage()|,"[11,10,1,1,8,1]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getMoney()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsBatchUpdates()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunction/setParams(smallsql.database.Expression%5B%5D)|,"[7,6,1,1,0,1]"
|java+method:///smallsql/junit/BenchTest/test_UpdateRows(java.sql.Connection)|,"[33,24,9,1,73,6]"
|java+method:///smallsql/database/StoreNoCurrentRow/deleteRow(smallsql.database.SSConnection)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/absolute(int)|,"[6,5,1,1,1,1]"
|java+method:///smallsql/database/Column/isCaseSensitive()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SortedResult/getRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestScrollable/testAbsoluteRelativeAssert(java.sql.ResultSet)|,"[67,55,12,1,0,1]"
|java+method:///smallsql/database/Utils/unique2bytes(java.lang.String)|,"[25,20,5,1,18,1]"
|java+method:///smallsql/database/MutableInteger/intValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/parse(char%5B%5D)|,"[38,35,3,1,8,2]"
|java+method:///smallsql/junit/TestDataTypes/main(java.lang.String%5B%5D)|,"[3,2,1,1,0,2]"
"|java+method:///smallsql/database/Store/getNumeric(int,int)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/TableResult/rowDeleted()|,"[13,8,5,1,0,3]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getNumeric()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/IndexDescription/getFile(smallsql.database.Database,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSubstring/getBytes()|,"[19,17,2,1,6,3]"
|java+method:///smallsql/database/SSConnection/setTypeMap(java.util.Map)|,"[3,1,2,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/CommandSelect/compileLinkExpression(smallsql.database.Expression)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/createView()|,"[11,8,3,1,4,1]"
|java+method:///smallsql/database/UnionAll/getTableView()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SortedResult/noRow()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/IndexNode/load(smallsql.database.StoreImpl)|,"[27,22,5,1,9,3]"
|java+method:///smallsql/database/Expression/getApiObject()|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getNumeric()|,"[6,5,1,1,1,1]"
|java+method:///smallsql/database/Identity/longValue()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getBigDecimal(int)|,"[10,8,2,1,4,3]"
"|java+method:///smallsql/database/SSPreparedStatement/setClob(int,java.sql.Clob)|","[5,2,3,2,0,1]"
|java+method:///smallsql/database/MemoryResult/addColumn(smallsql.database.Column)|,"[7,2,5,1,0,1]"
"|java+method:///smallsql/junit/BasicTestCase/dropTable(java.sql.Connection,java.lang.String)|","[13,10,3,2,2,4]"
|java+method:///smallsql/database/ViewResult/getRowPosition()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testForwardOnly()|,"[83,59,24,1,2,23]"
|java+method:///smallsql/junit/TestStatement/testMaxRows()|,"[30,25,5,1,9,1]"
"|java+method:///smallsql/database/SSResultSet/updateBigDecimal(java.lang.String,java.math.BigDecimal)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestResultSet/testScrollStatesGroupBy()|,"[41,34,7,1,4,1]"
|java+method:///smallsql/database/Money/floatValue()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/Table/Table(smallsql.database.Database,smallsql.database.SSConnection,java.lang.String,java.nio.channels.FileChannel,long,int)|","[35,23,12,6,10,5]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/execute()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSetMetaData/isSearchable(int)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsOpenStatementsAcrossRollback()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSSavepoint/getSavepointName()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/FileIndexNode/loadRootNode(boolean,java.nio.channels.FileChannel,long)|","[8,7,1,3,4,1]"
"|java+method:///smallsql/database/Database/checkForeignKeys(smallsql.database.SSConnection,smallsql.database.ForeignKeys)|","[9,6,3,2,2,3]"
|java+method:///smallsql/database/SSResultSetMetaData/isReadOnly(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/LongLongList/size()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsPositionedUpdate()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setShort(int,short)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/SSResultSet/setFetchDirection(int)|,"[3,2,1,1,1,1]"
"|java+method:///smallsql/database/CommandUpdate/addSetting(smallsql.database.Expression,smallsql.database.Expression)|","[13,3,10,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionATan2/getDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_int_asc()|,"[24,18,6,1,7,2]"
|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(long)|,"[17,14,3,1,9,5]"
|java+method:///smallsql/database/SortedResult/setRowPosition(long)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/Expression/getTableName()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestScrollable/testFirstWithWhere()|,"[19,15,4,1,7,3]"
|java+method:///smallsql/database/MutableDouble/toString()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/LongTreeList/LongTreeList(long)|,"[8,3,5,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setFloat(int,float)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/MemoryStream/readBytes(int)|,"[6,5,1,1,2,1]"
|java+method:///smallsql/database/ViewResult/beforeFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRadians/getDouble()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SmallSQLException/translateMsg(java.lang.String,java.lang.Object%5B%5D)|","[19,4,15,2,5,1]"
|java+method:///smallsql/database/SSResultSet/getRef(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/NoFromResult/next()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getObject(int)|,"[9,7,2,1,4,3]"
|java+method:///smallsql/junit/TestGroupBy/testGroupBy()|,"[12,10,2,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnInt/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/setNeedGeneratedKeys(java.lang.String%5B%5D)|,"[4,3,1,1,3,1]"
|java+method:///smallsql/database/ExpressionArithmetic/isInList()|,"[12,9,3,1,2,4]"
|java+method:///smallsql/database/Database/close()|,"[14,8,6,1,2,3]"
|java+method:///smallsql/junit/AllTests/getConnection()|,"[6,4,2,1,1,2]"
|java+method:///smallsql/database/SSResultSet/getString(int)|,"[17,10,7,1,1,5]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxCursorNameLength()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxColumnNameLength()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getFloat()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSStatement/executeUpdate(java.lang.String,java.lang.String%5B%5D)|","[4,3,1,2,0,1]"
"|java+method:///smallsql/database/Store/scanObjectOffsets(int%5B%5D,int%5B%5D)|","[1,1,0,2,0,0]"
